Ticker,GC=F,GC=F,GC=F,GC=F,GC=F,GC=F
Price,Open,High,Low,Close,Adj Close,Volume
Datetime,,,,,,
2026-03-16 18:00:00+00:00,4997.0,5024.0,4995.7998046875,5018.89990234375,5018.89990234375,5640
2026-03-16 19:00:00+00:00,5018.7001953125,5026.5,5014.0,5019.2998046875,5019.2998046875,4156
2026-03-16 20:00:00+00:00,5018.89990234375,5028.0,5010.7998046875,5011.2998046875,5011.2998046875,2408
2026-03-16 22:00:00+00:00,5012.2001953125,5021.89990234375,5003.89990234375,5007.60009765625,5007.60009765625,0
2026-03-16 23:00:00+00:00,5007.2001953125,5021.0,5007.0,5018.0,5018.0,1282
2026-03-17 00:00:00+00:00,5018.0,5019.2998046875,5002.2998046875,5007.10009765625,5007.10009765625,1875
2026-03-17 01:00:00+00:00,5006.2998046875,5032.7001953125,4998.7001953125,5032.10009765625,5032.10009765625,3693
2026-03-17 02:00:00+00:00,5032.2998046875,5034.10009765625,5024.10009765625,5026.2001953125,5026.2001953125,1783
2026-03-17 03:00:00+00:00,5026.0,5037.5,5024.2001953125,5030.2998046875,5030.2998046875,1698
2026-03-17 04:00:00+00:00,5031.10009765625,5046.7001953125,5030.10009765625,5042.39990234375,5042.39990234375,2325
2026-03-17 05:00:00+00:00,5043.10009765625,5049.39990234375,5024.2998046875,5024.5,5024.5,4025
2026-03-17 06:00:00+00:00,5025.2998046875,5027.0,5009.0,5013.89990234375,5013.89990234375,5001
2026-03-17 07:00:00+00:00,5013.7001953125,5031.89990234375,5013.0,5025.0,5025.0,4682
2026-03-17 08:00:00+00:00,5025.2001953125,5033.5,5022.2998046875,5029.0,5029.0,4513
2026-03-17 09:00:00+00:00,5029.2001953125,5030.2998046875,5014.39990234375,5014.7001953125,5014.7001953125,4778
2026-03-17 10:00:00+00:00,5014.7001953125,5020.7001953125,4994.7998046875,5003.2998046875,5003.2998046875,6630
